schema_name,table_name,qualified_name,column_name,data_type,nullable,primary_key,foreign_key,description,business_meaning,validation_rules,example_value,lineage_source,lifecycle_stage
raw,customers_raw,raw.customers_raw,raw_record_id,BIGSERIAL,False,True,,Raw record id column for this project table.,Captures raw record id for raw.customers_raw.,,1,,Raw source capture
raw,customers_raw,raw.customers_raw,source_system,TEXT,True,False,,Source system column for this project table.,Captures source system for raw.customers_raw.,,synthetic,,Raw source capture
raw,customers_raw,raw.customers_raw,source_file,TEXT,True,False,,Source file column for this project table.,Captures source file for raw.customers_raw.,,transactions.csv,,Raw source capture
raw,customers_raw,raw.customers_raw,ingested_at,TIMESTAMPTZ,False,False,,Ingested at column for this project table.,Captures ingested at for raw.customers_raw.,,2025-01-01T12:00:00Z,,Raw source capture
raw,customers_raw,raw.customers_raw,raw_payload,JSONB,False,False,,Original source record captured as JSONB.,Stores the original source record as JSONB for lineage and replay.,Must contain the original source record as a JSON object.,"{""transaction_id"": ""TXN_001""}",,Raw source capture
raw,customers_raw,raw.customers_raw,record_hash,TEXT,True,False,,Deterministic hash of the raw payload.,"Supports lineage, reproducibility, integrity checks, and later deduplication.",,sha256:...,,Raw source capture
raw,accounts_raw,raw.accounts_raw,raw_record_id,BIGSERIAL,False,True,,Raw record id column for this project table.,Captures raw record id for raw.accounts_raw.,,1,,Raw source capture
raw,accounts_raw,raw.accounts_raw,source_system,TEXT,True,False,,Source system column for this project table.,Captures source system for raw.accounts_raw.,,synthetic,,Raw source capture
raw,accounts_raw,raw.accounts_raw,source_file,TEXT,True,False,,Source file column for this project table.,Captures source file for raw.accounts_raw.,,transactions.csv,,Raw source capture
raw,accounts_raw,raw.accounts_raw,ingested_at,TIMESTAMPTZ,False,False,,Ingested at column for this project table.,Captures ingested at for raw.accounts_raw.,,2025-01-01T12:00:00Z,,Raw source capture
raw,accounts_raw,raw.accounts_raw,raw_payload,JSONB,False,False,,Original source record captured as JSONB.,Stores the original source record as JSONB for lineage and replay.,Must contain the original source record as a JSON object.,"{""transaction_id"": ""TXN_001""}",,Raw source capture
raw,accounts_raw,raw.accounts_raw,record_hash,TEXT,True,False,,Deterministic hash of the raw payload.,"Supports lineage, reproducibility, integrity checks, and later deduplication.",,sha256:...,,Raw source capture
raw,transactions_raw,raw.transactions_raw,raw_record_id,BIGSERIAL,False,True,,Raw record id column for this project table.,Captures raw record id for raw.transactions_raw.,,1,,Raw source capture
raw,transactions_raw,raw.transactions_raw,source_system,TEXT,True,False,,Source system column for this project table.,Captures source system for raw.transactions_raw.,,synthetic,,Raw source capture
raw,transactions_raw,raw.transactions_raw,source_file,TEXT,True,False,,Source file column for this project table.,Captures source file for raw.transactions_raw.,,transactions.csv,,Raw source capture
raw,transactions_raw,raw.transactions_raw,ingested_at,TIMESTAMPTZ,False,False,,Ingested at column for this project table.,Captures ingested at for raw.transactions_raw.,,2025-01-01T12:00:00Z,,Raw source capture
raw,transactions_raw,raw.transactions_raw,raw_payload,JSONB,False,False,,Original source record captured as JSONB.,Stores the original source record as JSONB for lineage and replay.,Must contain the original source record as a JSON object.,"{""transaction_id"": ""TXN_001""}",,Raw source capture
raw,transactions_raw,raw.transactions_raw,record_hash,TEXT,True,False,,Deterministic hash of the raw payload.,"Supports lineage, reproducibility, integrity checks, and later deduplication.",,sha256:...,,Raw source capture
raw,transactions_raw,raw.transactions_raw,transaction_id,TEXT,True,False,,Transaction id column for this project table.,Source transaction identifier used to trace payment activity.,,TXN_001,raw_payload,Raw source capture
raw,transactions_raw,raw.transactions_raw,sender_account_id,TEXT,True,False,,Sender account id column for this project table.,Standardised account that initiated the transaction.,,ACC_001,raw_payload,Raw source capture
raw,transactions_raw,raw.transactions_raw,receiver_account_id,TEXT,True,False,,Receiver account id column for this project table.,Standardised internal account that received the transaction when present.,,ACC_002,raw_payload,Raw source capture
raw,transactions_raw,raw.transactions_raw,transaction_timestamp,TIMESTAMPTZ,True,False,,Transaction timestamp column for this project table.,Parsed event time used for temporal rules and feature windows.,,2025-01-01T12:00:00Z,raw_payload,Raw source capture
raw,transactions_raw,raw.transactions_raw,amount,"NUMERIC(18, 2)",True,False,,Amount column for this project table.,"Positive monetary transaction amount used by rules, features, and scoring.",,125.50,raw_payload,Raw source capture
raw,transactions_raw,raw.transactions_raw,currency,TEXT,True,False,,Currency column for this project table.,Normalised currency code for transaction and account consistency.,,USD,raw_payload,Raw source capture
raw,counterparties_raw,raw.counterparties_raw,raw_record_id,BIGSERIAL,False,True,,Raw record id column for this project table.,Captures raw record id for raw.counterparties_raw.,,1,,Raw source capture
raw,counterparties_raw,raw.counterparties_raw,source_system,TEXT,True,False,,Source system column for this project table.,Captures source system for raw.counterparties_raw.,,synthetic,,Raw source capture
raw,counterparties_raw,raw.counterparties_raw,source_file,TEXT,True,False,,Source file column for this project table.,Captures source file for raw.counterparties_raw.,,transactions.csv,,Raw source capture
raw,counterparties_raw,raw.counterparties_raw,ingested_at,TIMESTAMPTZ,False,False,,Ingested at column for this project table.,Captures ingested at for raw.counterparties_raw.,,2025-01-01T12:00:00Z,,Raw source capture
raw,counterparties_raw,raw.counterparties_raw,raw_payload,JSONB,False,False,,Original source record captured as JSONB.,Stores the original source record as JSONB for lineage and replay.,Must contain the original source record as a JSON object.,"{""transaction_id"": ""TXN_001""}",,Raw source capture
raw,counterparties_raw,raw.counterparties_raw,record_hash,TEXT,True,False,,Deterministic hash of the raw payload.,"Supports lineage, reproducibility, integrity checks, and later deduplication.",,sha256:...,,Raw source capture
raw,countries_raw,raw.countries_raw,raw_record_id,BIGSERIAL,False,True,,Raw record id column for this project table.,Captures raw record id for raw.countries_raw.,,1,,Raw source capture
raw,countries_raw,raw.countries_raw,source_system,TEXT,True,False,,Source system column for this project table.,Captures source system for raw.countries_raw.,,synthetic,,Raw source capture
raw,countries_raw,raw.countries_raw,source_file,TEXT,True,False,,Source file column for this project table.,Captures source file for raw.countries_raw.,,transactions.csv,,Raw source capture
raw,countries_raw,raw.countries_raw,ingested_at,TIMESTAMPTZ,False,False,,Ingested at column for this project table.,Captures ingested at for raw.countries_raw.,,2025-01-01T12:00:00Z,,Raw source capture
raw,countries_raw,raw.countries_raw,raw_payload,JSONB,False,False,,Original source record captured as JSONB.,Stores the original source record as JSONB for lineage and replay.,Must contain the original source record as a JSON object.,"{""transaction_id"": ""TXN_001""}",,Raw source capture
raw,countries_raw,raw.countries_raw,record_hash,TEXT,True,False,,Deterministic hash of the raw payload.,"Supports lineage, reproducibility, integrity checks, and later deduplication.",,sha256:...,,Raw source capture
raw,devices_raw,raw.devices_raw,raw_record_id,BIGSERIAL,False,True,,Raw record id column for this project table.,Captures raw record id for raw.devices_raw.,,1,,Raw source capture
raw,devices_raw,raw.devices_raw,source_system,TEXT,True,False,,Source system column for this project table.,Captures source system for raw.devices_raw.,,synthetic,,Raw source capture
raw,devices_raw,raw.devices_raw,source_file,TEXT,True,False,,Source file column for this project table.,Captures source file for raw.devices_raw.,,transactions.csv,,Raw source capture
raw,devices_raw,raw.devices_raw,ingested_at,TIMESTAMPTZ,False,False,,Ingested at column for this project table.,Captures ingested at for raw.devices_raw.,,2025-01-01T12:00:00Z,,Raw source capture
raw,devices_raw,raw.devices_raw,raw_payload,JSONB,False,False,,Original source record captured as JSONB.,Stores the original source record as JSONB for lineage and replay.,Must contain the original source record as a JSON object.,"{""transaction_id"": ""TXN_001""}",,Raw source capture
raw,devices_raw,raw.devices_raw,record_hash,TEXT,True,False,,Deterministic hash of the raw payload.,"Supports lineage, reproducibility, integrity checks, and later deduplication.",,sha256:...,,Raw source capture
staging,countries,staging.countries,country_code,TEXT,False,True,,Country code column for this project table.,Normalised country code used for jurisdiction and cross-border analysis.,,AU,raw.countries_raw.raw_payload,Cleaned and standardised relational data
staging,countries,staging.countries,country_name,TEXT,False,False,,Country name column for this project table.,Captures country name for staging.countries.,,Australia,raw.countries_raw.raw_payload,Cleaned and standardised relational data
staging,countries,staging.countries,region,TEXT,True,False,,Region column for this project table.,Captures region for staging.countries.,,APAC,raw.countries_raw.raw_payload,Cleaned and standardised relational data
staging,countries,staging.countries,is_high_risk,BOOLEAN,False,False,,Is high risk column for this project table.,Captures is high risk for staging.countries.,Defaults to false.,false,raw.countries_raw.raw_payload,Cleaned and standardised relational data
staging,countries,staging.countries,risk_score,"NUMERIC(5, 2)",False,False,,Risk score column for this project table.,Captures risk score for staging.countries.,Must be between 0 and 100.,25.00,raw.countries_raw.raw_payload,Cleaned and standardised relational data
staging,countries,staging.countries,created_at,TIMESTAMPTZ,False,False,,Created at column for this project table.,Captures created at for staging.countries.,,2025-01-01T12:00:00Z,,Cleaned and standardised relational data
staging,countries,staging.countries,updated_at,TIMESTAMPTZ,False,False,,Updated at column for this project table.,Captures updated at for staging.countries.,,2025-01-01T12:00:00Z,,Cleaned and standardised relational data
staging,customers,staging.customers,customer_id,TEXT,False,True,,Customer id column for this project table.,Captures customer id for staging.customers.,,CUST_001,raw.customers_raw.raw_payload,Cleaned and standardised relational data
staging,customers,staging.customers,customer_type,TEXT,False,False,,Customer type column for this project table.,Captures customer type for staging.customers.,Lowercase standardised type.,individual,raw.customers_raw.raw_payload,Cleaned and standardised relational data
staging,customers,staging.customers,customer_segment,TEXT,True,False,,Customer segment column for this project table.,Captures customer segment for staging.customers.,,retail,raw.customers_raw.raw_payload,Cleaned and standardised relational data
staging,customers,staging.customers,jurisdiction,TEXT,True,False,staging.countries(country_code),Jurisdiction column for this project table.,Captures jurisdiction for staging.customers.,,AU,raw.customers_raw.raw_payload,Cleaned and standardised relational data
staging,customers,staging.customers,occupation,TEXT,True,False,,Occupation column for this project table.,Captures occupation for staging.customers.,,engineer,raw.customers_raw.raw_payload,Cleaned and standardised relational data
staging,customers,staging.customers,industry_code,TEXT,True,False,,Industry code column for this project table.,Captures industry code for staging.customers.,,5411,raw.customers_raw.raw_payload,Cleaned and standardised relational data
staging,customers,staging.customers,customer_risk_rating,TEXT,True,False,,Customer risk rating column for this project table.,Captures customer risk rating for staging.customers.,Defaults to low when missing.,medium,raw.customers_raw.raw_payload,Cleaned and standardised relational data
staging,customers,staging.customers,customer_risk_score,"NUMERIC(5, 2)",False,False,,Customer risk score column for this project table.,Captures customer risk score for staging.customers.,Must be between 0 and 100.,42.00,raw.customers_raw.raw_payload,Cleaned and standardised relational data
staging,customers,staging.customers,onboarded_at,TIMESTAMPTZ,True,False,,Onboarded at column for this project table.,Captures onboarded at for staging.customers.,Parsed as timestamp when supplied.,2024-12-01T00:00:00Z,raw.customers_raw.raw_payload,Cleaned and standardised relational data
staging,customers,staging.customers,created_at,TIMESTAMPTZ,False,False,,Created at column for this project table.,Captures created at for staging.customers.,,2025-01-01T12:00:00Z,,Cleaned and standardised relational data
staging,customers,staging.customers,updated_at,TIMESTAMPTZ,False,False,,Updated at column for this project table.,Captures updated at for staging.customers.,,2025-01-01T12:00:00Z,,Cleaned and standardised relational data
staging,accounts,staging.accounts,account_id,TEXT,False,True,,Account id column for this project table.,Captures account id for staging.accounts.,,ACC_001,raw.accounts_raw.raw_payload,Cleaned and standardised relational data
staging,accounts,staging.accounts,customer_id,TEXT,False,False,staging.customers(customer_id),Customer id column for this project table.,Captures customer id for staging.accounts.,,CUST_001,raw.accounts_raw.raw_payload,Cleaned and standardised relational data
staging,accounts,staging.accounts,account_type,TEXT,False,False,,Account type column for this project table.,Captures account type for staging.accounts.,,current,raw.accounts_raw.raw_payload,Cleaned and standardised relational data
staging,accounts,staging.accounts,account_status,TEXT,False,False,,Account status column for this project table.,Captures account status for staging.accounts.,Defaults to active when missing.,active,raw.accounts_raw.raw_payload,Cleaned and standardised relational data
staging,accounts,staging.accounts,currency,TEXT,False,False,,Currency column for this project table.,Normalised currency code for transaction and account consistency.,Uppercase ISO-like currency code.,USD,raw.accounts_raw.raw_payload,Cleaned and standardised relational data
staging,accounts,staging.accounts,opened_at,TIMESTAMPTZ,True,False,,Opened at column for this project table.,Captures opened at for staging.accounts.,Parsed as timestamp when supplied.,2024-01-01T00:00:00Z,raw.accounts_raw.raw_payload,Cleaned and standardised relational data
staging,accounts,staging.accounts,closed_at,TIMESTAMPTZ,True,False,,Closed at column for this project table.,Captures closed at for staging.accounts.,,2025-01-01T00:00:00Z,raw.accounts_raw.raw_payload,Cleaned and standardised relational data
staging,accounts,staging.accounts,home_country,TEXT,True,False,staging.countries(country_code),Home country column for this project table.,Captures home country for staging.accounts.,,AU,raw.accounts_raw.raw_payload,Cleaned and standardised relational data
staging,accounts,staging.accounts,created_at,TIMESTAMPTZ,False,False,,Created at column for this project table.,Captures created at for staging.accounts.,,2025-01-01T12:00:00Z,,Cleaned and standardised relational data
staging,accounts,staging.accounts,updated_at,TIMESTAMPTZ,False,False,,Updated at column for this project table.,Captures updated at for staging.accounts.,,2025-01-01T12:00:00Z,,Cleaned and standardised relational data
staging,counterparties,staging.counterparties,counterparty_id,TEXT,False,True,,Counterparty id column for this project table.,Captures counterparty id for staging.counterparties.,,CP_001,raw.counterparties_raw.raw_payload,Cleaned and standardised relational data
staging,counterparties,staging.counterparties,counterparty_type,TEXT,False,False,,Counterparty type column for this project table.,Captures counterparty type for staging.counterparties.,,merchant,raw.counterparties_raw.raw_payload,Cleaned and standardised relational data
staging,counterparties,staging.counterparties,counterparty_name,TEXT,True,False,,Counterparty name column for this project table.,Captures counterparty name for staging.counterparties.,,Example Merchant,raw.counterparties_raw.raw_payload,Cleaned and standardised relational data
staging,counterparties,staging.counterparties,country_code,TEXT,True,False,staging.countries(country_code),Country code column for this project table.,Normalised country code used for jurisdiction and cross-border analysis.,,NZ,raw.counterparties_raw.raw_payload,Cleaned and standardised relational data
staging,counterparties,staging.counterparties,institution_name,TEXT,True,False,,Institution name column for this project table.,Captures institution name for staging.counterparties.,,Example Bank,raw.counterparties_raw.raw_payload,Cleaned and standardised relational data
staging,counterparties,staging.counterparties,external_account_ref,TEXT,True,False,,External account ref column for this project table.,Captures external account ref for staging.counterparties.,,EXT-001,raw.counterparties_raw.raw_payload,Cleaned and standardised relational data
staging,counterparties,staging.counterparties,risk_score,"NUMERIC(5, 2)",False,False,,Risk score column for this project table.,Captures risk score for staging.counterparties.,Must be between 0 and 100.,35.00,raw.counterparties_raw.raw_payload,Cleaned and standardised relational data
staging,counterparties,staging.counterparties,created_at,TIMESTAMPTZ,False,False,,Created at column for this project table.,Captures created at for staging.counterparties.,,2025-01-01T12:00:00Z,,Cleaned and standardised relational data
staging,counterparties,staging.counterparties,updated_at,TIMESTAMPTZ,False,False,,Updated at column for this project table.,Captures updated at for staging.counterparties.,,2025-01-01T12:00:00Z,,Cleaned and standardised relational data
staging,devices,staging.devices,device_id,TEXT,False,True,,Device id column for this project table.,Captures device id for staging.devices.,,DEV_001,raw.devices_raw.raw_payload,Cleaned and standardised relational data
staging,devices,staging.devices,device_type,TEXT,True,False,,Device type column for this project table.,Captures device type for staging.devices.,,mobile,raw.devices_raw.raw_payload,Cleaned and standardised relational data
staging,devices,staging.devices,ip_address,TEXT,True,False,,Ip address column for this project table.,Captures ip address for staging.devices.,,203.0.113.10,raw.devices_raw.raw_payload,Cleaned and standardised relational data
staging,devices,staging.devices,ip_cluster,TEXT,True,False,,Ip cluster column for this project table.,Captures ip cluster for staging.devices.,,203.0.113.0/24,raw.devices_raw.raw_payload,Cleaned and standardised relational data
staging,devices,staging.devices,phone_hash,TEXT,True,False,,Phone hash column for this project table.,Captures phone hash for staging.devices.,,hash-phone,raw.devices_raw.raw_payload,Cleaned and standardised relational data
staging,devices,staging.devices,browser_fingerprint,TEXT,True,False,,Browser fingerprint column for this project table.,Captures browser fingerprint for staging.devices.,,browser-hash,raw.devices_raw.raw_payload,Cleaned and standardised relational data
staging,devices,staging.devices,created_at,TIMESTAMPTZ,False,False,,Created at column for this project table.,Captures created at for staging.devices.,,2025-01-01T12:00:00Z,,Cleaned and standardised relational data
staging,devices,staging.devices,updated_at,TIMESTAMPTZ,False,False,,Updated at column for this project table.,Captures updated at for staging.devices.,,2025-01-01T12:00:00Z,,Cleaned and standardised relational data
staging,transactions,staging.transactions,transaction_id,TEXT,False,True,,Transaction id column for this project table.,Source transaction identifier used to trace payment activity.,,TXN_001,raw.transactions_raw.raw_payload,Cleaned and standardised relational data
staging,transactions,staging.transactions,sender_account_id,TEXT,False,False,staging.accounts(account_id),Sender account id column for this project table.,Standardised account that initiated the transaction.,,ACC_001,raw.transactions_raw.raw_payload,Cleaned and standardised relational data
staging,transactions,staging.transactions,receiver_account_id,TEXT,True,False,staging.accounts(account_id),Receiver account id column for this project table.,Standardised internal account that received the transaction when present.,,ACC_002,raw.transactions_raw.raw_payload,Cleaned and standardised relational data
staging,transactions,staging.transactions,counterparty_id,TEXT,True,False,staging.counterparties(counterparty_id),Counterparty id column for this project table.,Captures counterparty id for staging.transactions.,,CP_001,raw.transactions_raw.raw_payload,Cleaned and standardised relational data
staging,transactions,staging.transactions,device_id,TEXT,True,False,staging.devices(device_id),Device id column for this project table.,Captures device id for staging.transactions.,,DEV_001,raw.transactions_raw.raw_payload,Cleaned and standardised relational data
staging,transactions,staging.transactions,transaction_timestamp,TIMESTAMPTZ,False,False,,Transaction timestamp column for this project table.,Parsed event time used for temporal rules and feature windows.,Parsed timestamp; must be populated.,2025-01-01T12:00:00Z,raw.transactions_raw.raw_payload,Cleaned and standardised relational data
staging,transactions,staging.transactions,amount,"NUMERIC(18, 2)",False,False,,Amount column for this project table.,"Positive monetary transaction amount used by rules, features, and scoring.",Must be greater than 0.,125.50,raw.transactions_raw.raw_payload,Cleaned and standardised relational data
staging,transactions,staging.transactions,currency,TEXT,False,False,,Currency column for this project table.,Normalised currency code for transaction and account consistency.,Uppercase currency code; defaults to USD.,USD,raw.transactions_raw.raw_payload,Cleaned and standardised relational data
staging,transactions,staging.transactions,transaction_type,TEXT,False,False,,Transaction type column for this project table.,Captures transaction type for staging.transactions.,,transfer,raw.transactions_raw.raw_payload,Cleaned and standardised relational data
staging,transactions,staging.transactions,channel,TEXT,True,False,,Channel column for this project table.,Captures channel for staging.transactions.,,online,raw.transactions_raw.raw_payload,Cleaned and standardised relational data
staging,transactions,staging.transactions,origin_country,TEXT,True,False,staging.countries(country_code),Origin country column for this project table.,Captures origin country for staging.transactions.,,AU,raw.transactions_raw.raw_payload,Cleaned and standardised relational data
staging,transactions,staging.transactions,destination_country,TEXT,True,False,staging.countries(country_code),Destination country column for this project table.,Captures destination country for staging.transactions.,,NZ,raw.transactions_raw.raw_payload,Cleaned and standardised relational data
staging,transactions,staging.transactions,is_cross_border,BOOLEAN,False,False,,Is cross border column for this project table.,Flag recalculated from origin and destination countries for cross-border typologies.,Recalculated as origin_country != destination_country.,true,derived from staging.transactions origin and destination,Cleaned and standardised relational data
staging,transactions,staging.transactions,is_labelled_suspicious,BOOLEAN,True,False,,Is labelled suspicious column for this project table.,"Synthetic scenario label used for validation, rules, and later model evaluation.",Synthetic scenario label when supplied.,false,raw.transactions_raw.raw_payload,Cleaned and standardised relational data
staging,transactions,staging.transactions,typology_label,TEXT,True,False,,Typology label column for this project table.,Suspicious activity typology label from synthetic scenario injection.,,structuring,raw.transactions_raw.raw_payload,Cleaned and standardised relational data
staging,transactions,staging.transactions,source_file,TEXT,True,False,,Source file column for this project table.,Captures source file for staging.transactions.,,transactions.csv,raw.transactions_raw.source_file or raw_payload,Cleaned and standardised relational data
staging,transactions,staging.transactions,created_at,TIMESTAMPTZ,False,False,,Created at column for this project table.,Captures created at for staging.transactions.,,2025-01-01T12:00:00Z,,Cleaned and standardised relational data
